Symbol,Shares,Cost Avg,Price,Cost Basis,Market Value,Gain / Lost,Gain / Lost %,Yield %,Annual Dividend,Dividend Received,Yield on Cost %,Beta,P/E,EPS,1Y Target,52W Low,52W High,Volume,Volume 3M Avg,Account %
AAPL,100,$68.54,$137.59,$6854.17,$13759.00,$6904.83,100.74%,0.67%,$92.00,$0.00,1.34%,1.19,22.42,$6.14,$189.73,$123.13,$182.94,137426125,98185783,18.81%
MSFT,30,$167.08,$252.56,$5012.37,$7576.80,$2753.43,54.93%,0.98%,$74.40,$189.00,1.48%,0.94,26.36,$9.58,$362.95,$243.00,$349.67,39018049,33643617,10.36%
ABBV,50,$87.13,$151.01,$4356.56,$7550.50,$3322.54,76.27%,3.73%,$282.00,$128.60,6.47%,0.81,21.66,$6.97,$164.64,$105.56,$175.91,6310444,7576870,10.32%
ENB,100,$30.01,$44.54,$3001.18,$4454.00,$1452.82,48.41%,5.90%,$263.00,$0.00,8.76%,0.91,19.82,$2.25,$46.86,$36.21,$47.42,3463408,4403893,6.09%
O,60,$59.98,$67.99,$3598.55,$4079.40,$543.85,15.11%,4.36%,$177.60,$63.00,4.94%,0.75,69.03,$0.99,$76.56,$62.74,$75.40,4085541,4005780,5.58%
DIS,30,$99.49,$102.42,$2984.57,$3072.60,$109.23,3.66%,0,$0.00,$21.20,0.00%,1.21,70.63,$1.45,$210.34,$99.47,$187.58,14012479,12601041,4.20%
STOR,100,$27.35,$26.11,$2734.97,$2611.00,-$30.13,-1.10%,5.90%,$154.00,$93.84,5.63%,1.18,23.74,$1.10,$33.29,$25.62,$37.13,3953936,2884822,3.57%
SPG,21,$67.94,$108.84,$1426.66,$2285.64,$864.48,60.59%,6.25%,$142.80,$5.50,10.01%,1.47,16.06,$6.78,$158.76,$105.72,$171.12,3296761,2179333,3.12%
T,100,$22.50,$20.40,$2250.43,$2040.00,-$144.73,-6.43%,5.44%,$111.00,$65.70,4.93%,0.74,8.58,$2.38,$24.22,$16.63,$22.78,46188153,57518085,2.79%
VZ,40,$50.68,$49.53,$2027.20,$1981.20,-$46.00,-2.27%,5.17%,$102.40,,5.05%,0.41,9.64,$5.14,$58.97,$45.55,$57.61,24181815,26615817,2.71%
QYLD,110,$19.26,$17.73,$2118.60,$1950.30,-$168.30,-7.94%,0.20%,$0.00,$0.00,0.00%,0.72,0,$0.00,$0.00,$17.41,$23.15,12634785,6166151,2.67%
PFE,35,$34.55,$52.47,$1209.36,$1836.45,$696.49,57.59%,3.05%,$56.00,$69.40,4.63%,0.71,12.03,$4.36,$59.33,$38.48,$61.71,29522865,27982996,2.51%
TSM,20,$102.52,$90.78,$2050.40,$1815.60,-$234.80,-11.45%,2.18%,$39.60,$0.00,1.93%,1.06,21.16,$4.29,$145.39,$85.39,$145.00,9450101,13116964,2.48%
XPEV,75,$31.74,$23.27,$2380.50,$1745.25,-$635.25,-26.69%,0,$0.00,$0.00,0.00%,0,0,-$0.88,$48.90,$18.01,$56.45,15256327,12865633,2.39%
GILD,25,$60.45,$63.84,$1511.31,$1596.00,$179.69,11.89%,4.57%,$73.00,$95.00,4.83%,0.39,17.83,$3.58,$69.35,$57.19,$74.12,6814570,9823454,2.18%
JMIA,200,$19.65,$6.72,$3930.00,$1344.00,-$2586.00,-65.80%,0,$0.00,$0.00,0.00%,3.24,0,-$2.72,$25.25,$4.48,$33.87,6271796,5676817,1.84%
DOCN,30,$39.79,$42.66,$1193.70,$1279.80,$86.10,7.21%,0,$0.00,$0.00,0.00%,0,0,-$0.32,$58.60,$30.05,$133.40,2987541,2441529,1.75%
T,60,$24.29,$20.40,$1457.40,$1224.00,-$233.40,-16.01%,5.44%,$66.60,$0.00,4.57%,0.74,8.58,$2.38,$24.22,$16.63,$22.78,46188153,57518085,1.67%
ET,100,$5.91,$11.11,$590.99,$1111.00,$720.89,121.98%,7.20%,$80.00,$200.88,13.54%,1.92,10.34,$1.07,$15.44,$7.96,$12.48,17356137,23607403,1.52%
UL,25,$46.25,$43.99,$1156.25,$1099.75,-$56.50,-4.89%,4.42%,$48.50,$0.00,4.19%,0.10,17.93,$2.45,$62.00,$42.54,$61.81,4176702,4206070,1.50%
FRT,10,$76.15,$109.40,$761.54,$1094.00,$378.21,49.66%,3.91%,$42.80,$45.75,5.62%,1.10,33.29,$3.29,$134.88,$107.54,$140.51,462917,486498,1.50%
ARCC,50,$13.80,$18.09,$689.88,$904.50,$396.62,57.49%,9.00%,$84.00,$182.00,12.18%,1.04,5.95,$3.04,$22.43,$17.79,$23.00,5235737,3938040,1.24%
WBD,50,$15.53,$17.74,$776.50,$887.00,$110.50,14.23%,0,$0.00,$0.00,0.00%,1.25,9.82,$1.81,$34.65,$16.51,$32.76,19112521,18096254,1.21%
NIO,50,$28.11,$16.44,$1405.50,$822.00,-$583.50,-41.52%,0,$0.00,$0.00,0.00%,2.45,0,-$1.00,$39.88,$11.67,$55.13,85447842,76460233,1.12%
BEN,31,$19.50,$25.80,$604.59,$799.80,$219.02,36.23%,4.50%,$35.96,$23.81,5.95%,1.17,6.93,$3.72,$27.38,$23.63,$38.27,3319138,3444735,1.09%
RTL,100,$5.45,$7.54,$545.06,$754.00,$338.94,62.18%,11.20%,$85.00,$130.00,15.59%,1.37,0,-$0.13,$11.33,$6.83,$9.52,572652,838322,1.03%
TPVG,50,$10.33,$13.93,$516.72,$696.50,$215.78,41.76%,10.34%,$72.00,$36.00,13.93%,1.72,6.13,$2.27,$17.54,$13.75,$19.25,205446,156370,0.95%
JMIA,100,$5.87,$6.72,$586.98,$672.00,$145.02,24.71%,0,$0.00,$60.00,0.00%,3.24,0,-$2.72,$25.25,$4.48,$33.87,6271796,5676817,0.92%
ONL,50,$13.96,$13.17,$698.00,$658.50,-$39.50,-5.66%,3.05%,$20.00,$0.00,2.87%,0,0,-$1.10,$19.00,$12.04,$19.27,394507,747950,0.90%
NVAX,10,$44.46,$53.42,$444.60,$534.20,$89.60,20.15%,0,$0.00,$0.00,0.00%,1.58,0,-$17.51,$183.40,$41.33,$277.80,7205661,4696274,0.73%
KMI,25,$10.94,$19.03,$273.50,$475.75,$224.65,82.14%,5.83%,$27.75,$22.40,10.15%,0.90,41.82,$0.46,$20.32,$15.01,$20.19,16294280,18271385,0.65%
DIDI,300,$12.59,$1.50,$3777.00,$450.00,-$3327.00,-88.09%,0,$0.00,$0.00,0.00%,0,0,-$2.83,$6.07,$1.37,$18.01,74055967,55830203,0.62%
,,,,$62925.04,$73160.54,$11667.58,,,$2130.41,,,,,,,,,,,100.00%